[2023-03-22 11:03:10,991] INFO [Controller id=0 epoch=3] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-03-22 11:03:11,047] INFO [Controller id=0 epoch=3] Sending LeaderAndIsr request to broker 0 with 53 become-leader and 0 become-follower partitions (state.change.logger)
[2023-03-22 11:03:11,049] INFO [Controller id=0 epoch=3] Sending UpdateMetadata request to brokers HashSet(0) for 53 partitions (state.change.logger)
[2023-03-22 11:03:11,114] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 53 partitions (state.change.logger)
[2023-03-22 11:03:11,148] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 3 as part of the become-leader transition for 53 partitions (state.change.logger)
[2023-03-22 11:03:11,156] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,170] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,179] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,190] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,200] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,200] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,210] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,221] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,231] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,240] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,252] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,262] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,271] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,283] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,292] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,302] INFO [Broker id=0] Leader outboxevents-0 with topic id Some(9X9mVK5WRW-LDAYju0FOmA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,313] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,323] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,332] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,344] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,353] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,362] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,373] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
